vote_trump,census_region,state,age,weight_2020,hispan,sex,race,income,education_category,stateicp
0,4,CA,54,1.289546536564708,0,1,4,2,3,California
1,3,FL,60,1.816004387876464,0,1,1,4,3,Florida
1,3,SC,30,1.8452062927235986,0,0,2,2,1,South Carolina
1,3,KY,71,2.2691330997138213,0,1,1,2,2,Kentucky
0,1,CT,39,0.26159919078184124,0,0,1,1,1,Connecticut
0,4,CA,41,0.638414582342427,0,1,1,2,2,California
0,3,VA,20,0.06410506385370997,1,0,1,1,2,Virginia
0,3,FL,66,0.218969360171036,0,1,1,2,3,Florida
0,1,MA,47,0.25217481697101757,1,1,5,1,2,Massachusetts
0,4,WA,63,0.18420960242117357,1,1,5,1,2,Washington
1,4,WA,43,0.9837790790690052,0,1,1,3,3,Washington
0,2,MI,20,0.1938536012996905,0,0,1,1,2,Michigan
0,1,NY,34,0.1955789957603273,0,0,1,1,2,New York
0,1,NJ,40,0.8560098441265213,0,0,2,1,2,New Jersey
0,4,WA,37,0.23021456960885356,0,1,1,1,2,Washington
1,3,TN,52,0.37890626167578606,0,1,1,1,2,Tennessee
0,2,MO,34,1.0088364382858817,0,0,1,3,3,Missouri
0,4,CA,66,0.46184656221067427,1,1,5,1,3,California
1,2,IA,21,0.05269852445199284,1,1,1,1,2,Iowa
1,2,MN,49,1.6160938180620545,0,0,1,2,2,Minnesota
1,2,IA,34,0.4266769895802754,0,1,1,1,2,Iowa
0,3,FL,49,0.8612721898529639,0,0,1,2,2,Florida
0,1,MA,61,0.37895206058342656,0,1,1,2,3,Massachusetts
0,2,IL,69,0.4666421536477249,0,1,1,2,3,Illinois
1,1,PA,41,0.6585796377250894,0,0,1,2,3,Pennsylvania
0,1,CT,75,0.24565674068393512,0,0,1,1,3,Connecticut
1,4,CA,42,0.8870370229720241,0,1,1,2,2,California
0,4,UT,30,0.2302372246340004,0,0,1,1,1,Utah
0,2,IL,55,0.24981087854658743,0,1,2,1,2,Illinois
0,4,CA,61,0.08272092075864976,0,1,1,1,3,California
1,3,OK,72,2.303030018817525,0,1,1,2,2,Oklahoma
0,2,OH,70,0.5549525723209194,0,1,1,1,2,Ohio
0,3,NC,29,0.8527846212418801,0,0,1,2,3,North Carolina
0,3,TX,35,0.07214462257249164,0,1,1,1,3,Texas
0,4,CA,44,0.4371789981095601,0,1,1,2,3,California
1,3,FL,54,0.15371875359697784,0,0,1,1,3,Florida
0,2,IN,19,0.2713004163299991,0,0,1,1,2,Indiana
1,4,HI,78,1.9347137520638271,0,1,4,3,3,Hawaii
1,3,AR,60,0.27442340966286216,0,0,1,1,2,Arkansas
0,2,IL,70,0.955904469206632,0,1,1,2,3,Illinois
0,1,NY,35,0.6267007110110925,0,0,1,3,3,New York
1,2,KS,68,0.3756433997928201,0,1,1,1,2,Kansas
1,2,MN,42,2.1807602595076143,0,1,2,2,1,Minnesota
0,1,PA,52,0.32195497399478007,0,0,1,2,3,Pennsylvania
0,2,WI,35,0.8192560047314118,0,0,1,2,2,Wisconsin
0,4,CA,43,1.7731409353226588,0,0,5,1,2,California
0,4,CO,65,0.14204504504094917,0,1,1,1,3,Colorado
0,1,NY,30,0.7233097023970592,0,0,1,2,3,New York
0,3,FL,18,0.121736338817402,0,0,2,1,1,Florida
1,2,MI,72,0.22908532648852448,0,1,1,1,3,Michigan
1,3,FL,75,2.041161933507415,0,0,1,1,2,Florida
1,1,NY,34,0.37003188243095547,0,0,1,2,3,New York
0,3,GA,56,0.2907805845633701,0,0,1,1,2,Georgia
0,3,TX,20,1.5896509668167988,1,0,5,2,1,Texas
0,4,AK,30,0.22095796815576577,0,1,1,3,3,Alaska
0,2,IN,63,0.2665212707673659,0,1,1,2,3,Indiana
0,2,MN,67,0.6182090905894763,0,1,1,2,3,Minnesota
0,3,VA,64,0.1125755585383224,0,1,1,1,2,Virginia
0,3,LA,42,0.9225823645390169,0,0,1,2,3,Louisiana
1,4,CO,24,0.7425330738629626,0,1,1,1,2,Colorado
0,3,LA,28,0.6256180470959243,0,0,1,1,2,Louisiana
0,1,NY,35,0.6193350519754,0,0,1,3,3,New York
0,4,WA,68,0.8754401515102669,0,0,1,2,2,Washington
0,1,MA,76,0.28372085412332704,0,1,1,1,2,Massachusetts
0,4,OR,66,1.0334430349701074,0,0,1,2,2,Oregon
1,2,MI,30,0.4369121905681945,0,1,1,2,3,Michigan
0,1,NY,32,0.10590669129062956,0,0,4,1,3,New York
